latitude,longitude,result
51.571467,7.056449,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571354,7.056433,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571251,7.056414,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.571157,7.056393,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570988,7.056358,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570840,7.056339,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570726,7.056318,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570618,7.056293,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570438,7.056232,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570282,7.056221,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570102,7.056178,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.570000,7.056156,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569889,7.056160,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569771,7.056145,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569639,7.056138,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569502,7.056167,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569366,7.056181,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569208,7.056210,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.569051,7.056268,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.568900,7.056330,route NE10 from Gelsenkirchen Buer Rathaus to Bochum Hauptbahnhof
51.568744,7.056447,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.568592,7.056550,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.568440,7.056683,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.568298,7.056810,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.568142,7.056973,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567997,7.057115,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567858,7.057250,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567715,7.057398,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567570,7.057549,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567420,7.057679,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567261,7.057806,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.567105,7.057925,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566948,7.058046,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566807,7.058159,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566648,7.058250,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566493,7.058313,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566333,7.058377,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566166,7.058440,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.566002,7.058493,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565832,7.058538,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565689,7.058583,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565556,7.058622,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565421,7.058660,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565297,7.058699,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565179,7.058733,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.565068,7.058768,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564961,7.058793,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564864,7.058820,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564708,7.058860,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564596,7.058894,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564491,7.058936,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564393,7.058948,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564289,7.058978,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.564144,7.059028,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563968,7.059104,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563870,7.059136,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
51.563767,7.059171,route 302 from Gelsenkirchen Buer Rathaus to Bochum Langendreer
